,person,herkunft,lebensdaten,karriere
1663,Saisawa Kôzô 西澤行藏,"Himeji-shi, Hyôgo-ken",12.6.1877–,"März 1910–1913 (Armee) Medizin ♦ Mai 1910–Mai 1912 am RKI Berlin ♦ Mai bis Oktober 1912 am Institut für Tropenkrankheiten in Hamburg.Militärarzt, Professor der Tôkyô-Universität und der Medizinischen Hochschule Nihon Ika Daigaku."
1664,Saitô Agu 斉藤阿具,Saitama-ken,Febr. 1868–1.3.1942,"Aug. 1902–1904 (MfB) Geschichte ♦ WS 1903/04 – U Berlin, Melanchthonstr. 16Direktor des Gymnasiums Daiittô Kôtô Gakkô. Publik. u.a. Seiyô bunka to Nihon 西洋文化と日本 (Westliche Kultur und Japan), Zûfu to Nihon ヅーフと日本 (Hendrik Doeff und Japan), Chimei jinmei Ei-Doku-Futsugo taishôhyô 地名人名英獨佛語對照表 (Vergleichende Tabelle geografischer und Personennamen Englisch – Deutsch – Französisch)."
1665,Saitô Daikichi 斉藤大吉,"Ôhashi-mura, Okayama-ken",25.11.1872–25.3.1949,"Jan. 1902–April 1905 (MfB) Ingenieurwesen (Hüttenkunde) ♦ SS 1902–SS 1903 – BA Freiberg, Fischerstr. 10 ♦ WS 1903/04–SS 1904 – TH Aachen, Suermondtplatz 1/2.Professor der Kyôto-Universität, Dekan. Publik. u.a. Kinzoku gôkin oyobi sono kakôhô 金属合金及其加工法 (Metalllegierungen und ihre Verarbeitung)."
1666,Saitô Hishô 斉藤斐章,Iwate-ken,26.2.1867–1944,"WS 1909/10 (MfB) Geschichte – U Berlin, W 62 Lutherstr. 10.Historiker, Professor des Lehrerbildungsinstituts Tôkyô Kôtô Shihan Gakkô. Publik. u.a. Seiyô bunmei shikan 西洋文明史觀 (Historische Sicht auf die westliche Zivilisation), Geschichte Japans (Übersetzung, Berlin, 1912), Nihon kokumin shi: zen 日本国民史: 全 (Geschichte des japanischen Volkes), 女子國史 Joshi kokushi (Nationalgeschichte der Frau, 2 Bde)."
1667,Saitô Itohei,Gunma-ken,8.11.1877215–,"WS 1911/12–SS 1913 (SME) Medizin – U Greifswald, Stephanistr. 4.Dr. med. 1913, Greifswald: Aus dem hygienischen Institut der Universität Greifswald. Über den Nachweis der Typhusbazillen in Fäces mit Hilfe eines aus Kartoffeln hergestellten, mit Malachitgrün, Safranin und Reinblau versetzten Nährbodens. 41 S."
1668,Saitô Jûichirô (Toichirô) 斉藤十一郎,Yamagata-ken,10.8.1867–11.6.1920,"1899 (MfJ) Recht in Berlin.Jurist, Abteilungsleiter im Justizministerium, Präsident der Kansai-Universität. Publik. u.a. Minji soshohô 民事訴訟法 (Die Zivilprozessordnung, 1904), Mitautor von Sangyô kumiai tôki 産業組合登記 (Die Eintragung von Gewerbevereinen).."
1669,Saitô Kaku 斉藤格,Fukushima-ken,19.7.1875–,"SS 1914 Medizin (Augenheilkunde) – U München, Mozartstr. 9.Dr. med. 1914, München: Über die Histogenese der traumatischen Iriszyste. 14 S.Arzt in Fukushima."
1670,Saitô Kendô 斉藤賢道,Ishikawa-ken,Juni 1878–,"1909–Sept. 1911 (MfHI) NW Studien in Berlin und München.Professor der TH Ôsaka Kôgyô Daigaku und der Ôsaka-Universität, Spezialist für Gärungsprozesse. Publik. u.a. Ôyô kingaku hanron 應用菌學汎論 (Überblick über die angewandte Pilzkunde), Kôgyôyô shokubutsu seni 工業用植物纖維 (Industriell genutzte Pflanzenfasern), Hakkô kinrui kensaku benran 醗酵菌類検索便覧 (Handbuch zur Bestimmung gärender Pilzarten), Yôsetsu hakkô biseibutsugaku 要説醗酵微生物學 (Abriss zur Gärungsmikrologie)."
1671,Saitô Kenji 斉藤憲治,Miyagi-ken,20.2.1886–,"WS 1913/14–SS 1914 Geodäsie und Kulturtechnik – U Bonn, Kaufmannstr. 7; Beringstr. 15."
1672,Saitô Kiichi 斉藤紀一,Yamagata-ken,1.8.1863–7.11.1928,"1901–1903 Medizin ♦ SS 1901–WS 1901/02 – U Berlin, Hallesche Str. 1 ♦ SS 1902 – U Halle, Goethestr. 3.Dr. med. 1903, U Berlin: Anatomische Studien über wichtige Faserpflanzen Japans mit besonderer Berücksichtigung der Bastzellen. 68 S., 2 Taf.Direktor des Aoyama-Hospitals für Hirnkrankheiten, 1917 Wahl ins Shûgiin."
1673,Saitô Kyôzô 斉藤恭三,Saitama-ken,-,Mai 1912–Juni 1914 (Marine) Medizin (Bakteriologie) in Berlin und Heidelberg.Militärarzt am Marine-Hospital in Yokosuka.
1674,Saitô Minoru 斉藤実,Tôkyô,März 1883–,"WS 1910/11–SS 1911 Medizin (Pharmazie) – U Berlin, SW 61 Teltowerstr. 22.Leiter des pharmazeutischen Unternehmens Saitô Manhei Yakuzai."
1675,Saitô Seiichirô 斉藤精一郎,Akita-ken,14.5.1873–,"Aug. 1904–Nov. 1906 Medizin (Innere) ♦ WS 1904/05–WS 1905/06 – U Würzburg, Ludwigstr. 23 ♦ SS 1906 – U Berlin, NW 6 Luisenplatz 12.Dr. med. 1905, Würzburg: Studien über die Spaltung und Resorption des Nahrungsfettes. 38. S.Professor der Medizinischen Hochschule Okayama Ika Daigaku. Publik. u.a. Shôkaki byôgaku 消化器病學 (Untertitel: Krankheiten des Verdauungsapparates, 2 Bde)."
1676,Saitô Seitarô (Sonitarô) 斉藤清太郎,Okayama-ken,Febr. 1872–16.10.1941,"WS 1904/05–SS 1905 (MfB) Geschichte – U Berlin, W Joachimsthaler Str. 10.Europahistoriker, Professor der Tôkyô-Universität. Publik. u.a. Seiyô kinseishi kôwa 西洋近世史講話 (Vorträge zur jüngsten Geschichte Europas), Seiyô rekishi chizu 西洋歴史地圖 (Historisch-geografische Karte Europas), Fukkoku kakumei oyobi Naporeon jidaishi kôwa 仏国革命及ナポレオン時代史講話 (Vorträge zur französischen Revolution und zur Geschichte der napoleonischen Zeit), Rokoku no Tô-A seisaku 露國の東亞政策 (Russlands Ostasienpolitik, 1933), Roshiashi kôwa 露西亞史講話 (Vorträge zur Geschichte Russlands)."
1677,Saitô Sensuke 斉藤仙輔,-,-,Nov. 1886–1889 (LB) Ingenieurwesen (Zementverarbeitung).Ingenieur bei Asano Cemento.
1678,Saitô Senya 斉藤仙也,Kyôto,-,"SS 1900–WS 1901/02 Medizin – U Berlin, NW Schumannstr. 10."
1679,Saitô Shinpei 斉藤新平,"Fukuyama, Hiroshima-ken",1865–14.5.1910,Nov. 1886–1890 Ingenieurwesen (Architektur).
1680,Saitô Shôhei 斉藤正平,-,-,"1913–1914 Medizin in Berlin.Chemiker, Publik. u.a. Saikin jikken mokuzai bôfuhô 最近實驗木材防腐法 (Jüngste Experimente zur Holzkonservierung), Denkiyô kagaku 電氣用化學 (Elektrochemie), Ôyô denki kagaku 応用電気化学 (Angewandte Elektrochemie)."
1681,Saitô Tsunesaburô 斉藤常三郎,Aichi-ken,1871–1921,"1906–1909 (Armee) Militärstudien als Major in Weimar, Gotha, Liegnitz und Dresden ♦ ab 1.Okt. 1907–30.Sept. 1908 Kommandierung zum Grenadier-Regiment König Wilhelm I. Nr. 7 in Liegnitz.Generalmajor."
1682,Saitô Yoichirô 斉藤与一郎,Hakodate,26.10.1873–5.1.1961,"Okt. 1906–Febr. 1912 Medizin (Bakteriologie) ♦ SS 1907–SS 1908 – U Göttingen, Nikolausb. Weg. 41 ♦ WS 1908/09–WS 1910/11 – U Würzburg, Weissenburgstr. 3a; Schönleinstr. 5/2 ♦ WS 1910/11 – U München, Goethestr. 51/2.Direktor des Kashiwano-Hospitals, Bürgermeister von Hakodate. Publik. u.a. Doitsu gakusei kishitsu 独逸学生気質 (Die Sinnesart deutscher Studenten)."
1683,Sakagami Kôzô 坂上弘蔵,Niigata-ken,9.9.1872–,April–Sept. 1914 Medizin in einem Berliner Hospital.Direktor des Sakagami Hospitals in Tôkyô.
1684,Sakaguchi Kakutarô 坂口格太郎,"Goka, Nagano-ken",3.11.1870–,"1901–1904 Medizin ♦ SS 1901 – U Freiburg, Hermannstr. 4 ♦ WS 1902/03–WS 1903/04 – U Rostock, Neue Werderstr. 36."
1685,Sakaguchi Takashi 坂口昂,Hyôgo-ken,15.1.1872–28.1.1928,"WS 1909/10–SS 1911 (MfB) Geschichte – U Berlin, W 30 Eisenacher Str. 29.Historiker, Professor der Kyôto-Universität. Publik. u.a. Gaikan sekai shichô 概觀世界史潮 (Welthistorische Strömungen - ein Überblick), Sekaishi ronkô 世界史論講 (Vorträge zur Weltgeschichte), Sekai ni okeru Girisha bunmei no chôryû 世界に於ける希臘文明の潮流 (Strömungen griechischer Kultur in der Welt), Doitsu shigakushi 獨逸史學史 (Geschichte deutscher Historiografie)."
1686,Sakaguchi Yû (Isamu) 坂口勇,Aichi-ken,11.2.1880–1958,"SS 1912–WS 1913/14 Medizin (Dermatologie) – U Göttingen, Am weißen Stein 5; Am weißen Stein 7.Dermatologe, Direktor des Sakaguchi-Hospitals. Publik. u.a. Shûchin hifu kagaku 袖珍皮膚科学 (Untertitel: Taschenbuch der Hautkrankheiten), Byôsô kansen 病巣感染 (Infektionsherd und Ansteckung)."
1687,Sakai Kikujirô 酒井亀久次郎,-,-,1906–1908 (Armee) Ingenieurwesen bei Friedrich Krupp Co. in Essen.
1688,Sakai Kiyoshi 阪井清,Hyôgo-ken,5.8.1874–,"1909–Aug. 1911 (Armee) Medizin ♦ SS 1909–SS 1910 HNO-Krankheiten – U Straßburg ♦ danach am Institut für Experimentelle Therapie in Frankfurt am Main, an der Universität Jena und in Essen.Professor der Medizinischen Hochschule in Seoul, Chefarzt in einem HNO–Hospital in Korea."
1689,Sakai Naotsune 阪井直常,-,-,"März 1879–Mai 1883 (Armee) Medizin ♦ WS 1879/80–SS 1882 – U Berlin, N Artilleriestr. 8..Publik. u.a.: Senpei kakuron 撰兵各論 (Abhandlung über Elitesoldaten, 1877)."
1690,Sakai Seiichi 阪井精一,Yamaguchi-ken,11.10.1875–28.4.1933,"WS 1912/13–SS 1913 (JRK) Medizin (Innere) – U Freiburg.Direktor des Rot-Kreuz-Hospitals in Yamada, Mie-ken."
1691,Sakai Tadamichi 酒井忠宝,"Tsurioka, Yamagata-ken",13.6.1856–17.9.1921,"SS 1877–WS 1877/78 Recht – U Berlin, Charlottenburg, Bismarckstr. 114.Graf, Gouverneur des Shônai-Distrikts der Präfektur Yamagata."
1692,Sakai Tadazumi 酒井忠篤,"Tsuruoka, Saitama-ken",22.3.1853–8.6.1915,1872–1879 (Armee) Militärstudien.Generalleutnant.
1693,Sakai Takuzô 酒井卓造,"Kuki-shi, Saitama-ken",13.10.1879–5.6.1940,1913–1914 (MfB) Medizin in Königsberg.Professor der Medizinischen Hochschule Chiba Ika Daigaku.
1694,Sakaki Chûzô 榊忠三,Kagawa-ken,Febr. 1878–11.2.1915,"SS 1913–WS 1913/14 Medizin (Gynekologie) – U Berlin, W 62 Bayreutherstr. 39.In Berlin verstorben."
1695,Sakaki Hajime 榊俶,Tôkyô,28.2.1857–6.2.1897,"SS 1882–WS 1885/86 Medizin (Neurologie) – U Berlin, NW 6 Philippstr. 24.Augenarzt, Professor der Tôkyô-Universität. Publik. u.a. Gankagaku 眼科學 (Augenheilkunde, 4 Bde, 1881), Mitautor von Hôigaku teikô 法医学提綱 (Abriss der Gerichtsmedizin, 2 Bde)."
1696,Sakaki Junjirô 榊順次郎,Tôkyô,13.6.1859–16.11.1939,"SS 1893–WS 1894/95 Medizin (Gynekologie) – U Würzburg, Gerbersgasse 19; Pleicher Thorgasse 1; Kapuzinergasse 17/2.Dr. med. 1895, Würzburg: Unterschiede der japanischen und deutschen Geburtshilfe. 40 S. 1 Bl.Direktor des Sakaki-Gynäkologie-Hospitals, Begründer und Eigner einer Hebammenschule. Publik. u.a. Sanbagaku 産婆學 (Die Hebammenlehre, 2 Bde), Kakkebyô to beikoku to no geninjo kankei 脚氣病ト米穀トノ原因上關係 (Die Beriberi-Krankheit und der Zusammenhang ihrer Verursachung durch den Reis), Yûdokumai no kenkyû 有毒米ノ研究 (Studien zu gifthaltigem Reis)."
1697,Sakaki Yasusaburô 榊保三郎,Shizuoka-ken,24.4.1870–19.3.1929,"WS 1903/04–SS 1906 Philosophie – U Berlin, NW 40 Alexanderufer 2.Professor der Kyûshû-Universität. Publik. u.a. Kyôiku byôri oyobi chiryôgaku 教育病理及治療学 (Untertitel: Paedagogische Pathologie und Therapie), Shizen kagakuteki dôtoku ron 自然科學的道徳論 (Über naturwissenschaftliche Tugenden), Seiyoku kenkyû to seishin bunsekigaku 性慾研究と精神分析學 (Studien zum Sexualtrieb und die Psychoanalyse), Mitteilungen über Resultate der Ermüdungsmessungen in vier japanischen Schulen zu Tokio."
1698,Sakakibara Kikuwaka 榊原幾久若,Aichi-ken,3.9.1863–29.2.1936,"1909 Recht in Berlin.Oberster Richter am Appellationsgericht in Utsunomiya, Anklagevertreter am Obersten Gericht. Publik. u.a. Shihanhô: zen 私犯法: 全 (Gesetze über persönliche Verbrechen), Minpô saikenhen kôgi 民法債權編講義 (Vorträge über zivilrechtliche Schuldforderungen)."
1699,Sakakibara Tadayoshi (Chûsei) 榊原忠誠,Tôkyô,1860–12.12.1894,Febr. 1890–Juni 1893 (Armee) Militärstudien als Hauptmann in Würzburg und Berlin.Major.
1700,Sakamoto Ikutarô 坂本育太郎,Tôkyô,16.4.1865–,"SS 1901–SS 1902 Medizin – U Erlangen, Marquardsenstr. 8 und 6.Dr. med. 1902, Erlangen: Über zwei Fälle von Weil’scher Krankheit. 28 S.Hospital-Eigentümer."
1701,Sakamoto Morikichi,-,-,1914 (Armee) Militärstudien als Leutnant in Berlin.
1702,Sakamoto Saburô 坂本三郎,Tôkyô,16.10.1867–14.4.1931,"Sept. 1900–Jan. 1904 Recht ♦ WS 1900/01 – U Heidelberg, Kaiserstr. 61, bei Gamber ♦ SS 1901–WS 1902/03 – U Berlin, Melanchthonstr. 22 ♦ SS 1903 – U Heidelberg, Kaiserstr. 62, bei Gräser.Dr. jur. 1903, Heidelberg: Das Ehescheidungsrecht Japans. VIII, 107 S.Professor der Waseda-Universität, Gouverneur der Präfektur Akita. Publik. u.a. Nihon kôgyôhô 日本鑛業法 (Japanisches Bergbaurecht), Kôgyôhô shakugi 鑛業法釋義 (Erläuterungen zum Bergbaurecht)."
1703,Sakamoto Shunichi 坂本俊一,-,-,März 1878–1881 (Marine) Ingenieurwesen ♦ 1878–1880 bei Friedrich Krupp Co. in Essen.
1704,Sakamoto Tôichi 坂本陶一,Tôkyô-fu,-,"1911–1912 (MfB) Ökonomie in Berlin.Professor der Handelshochschule Otaru Kôtô Shôgyô Gakkô. Publik. u.a. Sekai shôgyô shiyô 世界商業史要 (Geschichte des Welthandels), Saikin shôgyô tsûron 最新商業通論 (Abriss des modernen Handels), Kaiun seisaku 海運政策 (Verschiffungspolitik), Kaiun 海運 (Seetransport), Shôgyô chirigaku 商業地理學 (Handelsgeografie)."
1705,Sakanishi Yoshizô (Yuzô) 坂西由蔵,"Kinosaki, Hyôgo-ken",1877–27.5.1942,"1907–1909 Staatswissenschaft ♦ SS 1907 – U Freiburg, Maximilianstr. 16 ♦ WS 1907/08–WS 1908/09 – U München, Hessstr. 36/1 ♦ SS 1909 – U Berlin, W 10 Von-der-Heydt-Str. 14.Ökonom, Professor der Handelshochschule Kôbe Shôka Daigaku. Publik. u.a. Chûsei Yoroppa keizaishi 中世ヨーロッパ經濟史 (Wirtschaftsgeschichte des europäischen Mittelalters), Keizai seikatsu no rekishiteki kôsatsu 經濟生活の歴史的考察 (Historische Betrachtungen zum Wirtschaftsleben), , Mitautor von Nihon keizaishi ron 日本經濟史論 (Untertitel: Die gesellschaftliche und wirtschaftliche Entwickelung in Japan), Chôsen keizaishi 朝鮮經濟史 (Wirtschaftsgeschichte Koreas)."
1706,Sakaoka Suetarô 坂岡末太郎,Aomori-ken,10.10.1869–26.9.1923,"1909–1910 (MfB) Ingenieurwesen (Tiefbau) in Berlin.Dekan der Tôhoku-Universität. Publik. u.a. Saikin tetsudô kôgaku kôgi 最新鐵道工學講義 (Vorträge über das neueste Eisenbahn-Ingenieurwesen, 8 Bde), Sakaoka sokuryôgaku kôgi 坂岡測量學講義 (Vorträge über Sakaokas Geodäsie, 2 Bde), Sakaoka tetsudô kôgaku 坂岡鐵道工學 (Sakaokas Eisenbahn-Ingenieurlehre, 2 Bde)."
1707,Sakata Kaitarô 坂田快太郎,Okayama-ken,15.10.1865–22.1.1931,"Juni 1900–Dez. 1903 (LB) Medizin (Chirurgie) ♦ WS 1900/01 – U Berlin, NW 6 Philippstr. 4 ♦ 1900–1902 in Breslau.Chefarzt im Hospital der Päfektur Okayama."
1708,Sakata Shenzô (Senzô?) 佐方潜造,Tôkyô,1859–1895,"1885–1888 Medizin ♦ SS 1885–WS 1886/87 – U Leipzig, Hospitalstr. 14; Sternwartenstr. 44 ♦ WS 1887/88–SS 1889 – U Berlin, NW 6 Philippstr. 23."
1709,Sakata Shintarô,Tôkyô,27.10.1864–,"WS 1912/13–WS 1913/14 Chemie – TH Aachen, Mauerstr. 40."
1710,Sakata Sôsuke (Munesuke) 佐方宗助,Yamaguchi-ken,-,SS 1886– ? Ingenieurwesen (Bergbau) – Clausthal.Ingenieur in den Toyokuni-Kohlegruben..
1711,Sakauchi Fuyuzô 坂内冬蔵,"Wakamatsu, Nagasaki-ken",25.11.1859–9.12.1915,1886–1888 (Unt) Ingenieurwesen (Zementverarbeitung).Chefingenieur im Zementunternehmen Asano Cemento.
1712,Sakiyama Motokichi 崎山元吉,Wakayama,–15.1.1920,"Mai 1871–Nov. 1875 (Han) Recht (Handelsrecht).Sprachlehrer der Militärakademie. Publik. u.a. Doitsugaku shôkei 獨逸學捷径: 全 (Abriss der Germanistik), Doitsugo zenchishi yôhô 獨逸語前置詞用法 (Gebrauchsanweisung für Präpositionen in der deutschen Sprache), Eigo kyôjusho 英語教授書 (Lehrbuch für den Englischunterricht, 1894)."
1713,Sakô Shûtarô (Hidetarô),Kagoshima,-,"WS 1911/12–SS 1914 Nationalökonomie – U Berlin, W 50 Augsburgerstr. 23."
1714,Sakuma Kôtarô 作間綱太郎,Nara-ken,7.9.1866–,"Mai 1894–1900 Ingenieurwesen (Maschinenbau), darunter 1898–1900 in Gutehoffnungshütte Oberhausen."
1715,Sakuragi Yûkichi 桜木勇吉,Ôsaka,14.4.1876–8.3.1951,"Okt. 1906–Aug. 1908 Medizin (Pädiatrie) ♦ SS 1907–SS 1908 – U München, Goethestr. 49/1; Ringseisstr. 3/2Dr. med. 1908, München: Gewichtsverhältnisse von Säuglingen proletarischer Bevölkerung bei natürlicher und künstlicher Ernährung nebst einigen Bemerkungen über Säuglings-Beratungsstellen und Milchküchen. 99 S.Arzt im Sakuragi-Hospital in Ôsaka."
1716,Sakurai Isao (Kô) 桜井功,Tôkyô,15.2.1877–,"1906–1914 Medizin, davon 1907–1914 in Freiburg.Direktor des Sakurai-Hospitals."
1717,Sakurai Kôkichi 桜井貢吉,-,-,1911–1912 Medizin in Freiburg.
1718,Sakurai Masataka 桜井政隆,Niigata-ken,Dez. 1879–,"SS 1913–WS 1913/14 Germanistik – U Berlin, Schöneberg, Kufsteiner Str. 4.Germanist, übersetzte Arbeiten von Goethe (u.a. Faust) und Schiller (u.a. Wilhelm Tell)."
1719,Sakurai Sannosuke 桜井三之助,Tôkyô-fu,10.10.1865–,Sept. 1906–1908 (MfB) Medizin in Freiburg und München.
1720,Sakurai Takuji 桜井卓二,Tôkyô,21.7.1877–,"1895–1905 Medizin ♦ 1895– ? Schulbesuch in Coburg ♦ SS 1898–SS 1899 Medizin – U Marburg, Ketzerbachstr. 57, bei Briefträger Becker ♦ WS 1899/1900–WS 1904/05 – U München, Barerstr. 49/1 l."
1721,Sakurai Tsunejirô 桜井恒次郎,Hyôgo-ken,17.3.1872–25.8.1928,"Aug. 1902–Mai 1906 (MfB) Medizin (Anatomie).Professor der Medizinischen Hochschule Fukuoka Igaku Senmon Gakkô und der Kyûshû-Universität. Publik. u.a. Systema anatomica (1916), Taiseigaku: kan 胎生學: 完 (Embryologie; Untertitel: Entwickelungsgeschichte), Sakurai hakushi taisô kôenshû 桜井博士体操講演集 (Vortragssammlung zum Turnen von Dr. Sakurai), Bijutsu kaibôgaku 美術解剖学 (Kunstanatomie)."
1722,Sakurane Kônoshin 桜根孝之進,Wakayama-ken,5.9.1870–11.10.1950,"Mai 1905–Sept. 1906 (LB) Medizin (Dermatologie) ♦ WS 1905/06–SS 1906 – U Breslau.Dermatologe und Verfechter der Rômaji-Umschrift, Professor der Medizinischen Hochschule Ôsaka Ika Daigaku. Publik. u.a. Hifubyô = Dermatologie (1913), Rômaji ronbunshû ローマ字論文集 (Aufsatzsammlung in Rômaji, 1939), Kogo shûi: genbun oyobi rômajibun taishô 古語拾遺: 原文及ローマ字文對照 (Nachtrag zum Altjapanischen: Gegenüberstellung von Original- und Rômaji-Texten), Mitverfasser von Rômaji Manyôshû = ロ-マ字萬葉集 (Die Gedichtssammlung Manyôshû in Rômaji; Untertitel: Text in romanized Japanese; Includes index), Karyûbyô no seibutsugakuteki shindan oyobi ryôhô 花柳病ノ生物學的診斷及療法 (Biologische Diagnosen und Therapien von Geshlechtskrankheiten)."
1723,Sanbe Kinzô 三辺金蔵,Kanagawa-ken,7.3.1881–25.4.1962,"Aug. 1912–1914 Staatswissenschaft ♦ WS 1913/14–SS 1914 – U Berlin, W 57 An der Apostelkirche 8.Professor der Keiô-Universität. Publik. u.a. Kaikei kansa 會計監査 (Rechnungsprüfung), Keiei bunseki 経営分析 (Betriebsanalyse), Kaikeigaku 會計學 (Rechnungswesen)."
1724,Sandaya Hiraku 三田谷啓,Hyôgo-ken,1.9.1881–1961,"WS 1911/12–WS 1912/13 Medizin (Pädiatrie) – U Göttingen, Kirchweg 6; Schildweg 9.Dr. med. 1912, Göttingen: Aus der Medizinischen Klinik in Göttingen. Untersuchungen über die Resistenz menschlicher Erythrozyten bei verschiedenen Krankheiten. 46 S.Kinderarzt und Kinderpsychologe, Leiter des Sandaya-Instituts für medizinische Bildung. Publik. u.a. Haha no tame - ko no tame 母のため・子のため (Für Mutter und Kind), Ikuji no kokoroe 育児の心得 (Empfehlungen für die Kindererziehung), Kodomo wo kashikoku suru tame ni 子供を賢くする為めに (Damit das Kind vernünftig wird), Kodomo no shinkeishitsu 子供の神經質 (Nervosität des Kindes), Japanische Sprichwörter (Übersetzung aus dem Japanischen von H. Sandaya)."
1725,Saneyoshi Sumio (Junrô) 実吉純郎,Tôkyô,9.6.1879–8.11.1948,"Aug. 1910–Juli 1913 Medizin (Innere) ♦ SS 1911–SS 1912 – U Berlin, Charlottenburg, Kantstr. 28.Professor der Medizinischen Hochschule Jikeikai Ika Daigaku."
1726,Sano Hidenosuke 佐野秀之助,Ôsaka,19.12.1887–24.12.1955,"WS 1913/14–SS 1914 Ingenieurwesen (Bergbau) – TH Aachen, Ludwigsallee 88.Bergbauingenieur, Dekan der Tôkyô-Universität, 1948 Präsident der Bergbauhochschule Akita Kôzan senmon gakkô. Publik. u.a. Saishin tankô kôgaku 最新炭鑛工學 (Neueste Technik im Kohlebergwerk, 3 Bde, 1949), Tankô jitsugi zukai 採炭實技圖解 (Illustrationen zur Bergbautechnik), Saikin no Ô-Bei saitan jitsugi 最近の歐米採炭實技 (Moderne Kohlegewinnungstechnik in Europa und Amerika)."
